id,parent_id,title,cited,authors,publishers,snippet,link,link_to_citers
1,-1,La Revolution francaise et l'idee de lutte des classes,4,"R Roux - Revue d'histoire économique et sociale, 1951",JSTOR,"Liberté, Égalité, Fraternité: dans cette devise idéale qu'elle nous a léguée, inscrite en tête 
de ses actes et gravée au fronton des monuments, rien n'incite à penser que la Révolution …",https://www.jstor.org/stable/24068895,"https://scholar.google.com/scholar?cites=3646456796773598798&as_sdt=2005&sciodt=0,5&hl=en"
2,-1,"Sous les impôts, la lutte des classes",1,"B Lemoine - La vie des idées, 2019",laviedesidees.fr,"Tout portait à croire que la question fiscale était une candidate sérieuse–avec d’autres 
phénomènes, comme le surendettement des ménages–au déclencheur d’un mouvement social d’…",https://laviedesidees.fr/IMG/pdf/20191219_impotspire.pdf,"https://scholar.google.com/scholar?cites=13155034275591205870&as_sdt=2005&sciodt=0,5&hl=en"
3,-1,Politique du logement de l'état: Exigences du capital et lutte des classes,6,"S Magri - International Journal of Urban and Regional …, 1977",Wiley Online Library,"This article is based on the initial results of research in progress on state housing policies 
for workers, and notably on a study of policies implemented in Paris and London between …",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1468-2427.1977.tb00714.x,"https://scholar.google.com/scholar?cites=14469859274279268202&as_sdt=2005&sciodt=0,5&hl=en"
4,-1,"La lutte des minorités, une réponse à la lutte des classes?",2,"G PREVELAKIS - Les minorités en Europe, 1993",torrossa.com,"Le concept de minorité fait partie du cadre conceptuel de l'Etat-nation: dans d'autres systèmes 
de cloisonnement de l'espace politique, comme dans les empires multi-ethniques, le …",https://www.torrossa.com/gs/resourceProxy?an=5113002&publisher=FZ2990#page=51,"https://scholar.google.com/scholar?cites=781528230568599189&as_sdt=2005&sciodt=0,5&hl=en"
5,-1,La lutte des classes moyennes,2,L Wauquiez,"2011,books.google.com","﻿«Les classes moyennes, aspirées vers le bas de l’échelle sociale, luttent pour leur survie, 
trop souvent dans l’indifférence générale. Elles restent invisibles, inaudibles, sans véritable …",https://books.google.com/books?hl=en&lr=&id=_fprju5XqAkC&oi=fnd&pg=PA7&dq=lutte+des+classes&ots=osd1pnpPbz&sig=0Z9RNBfRyX50p1a-46YynV8llRo,"https://scholar.google.com/scholar?cites=2163650536968000640&as_sdt=2005&sciodt=0,5&hl=en"
6,-1,"En marche vers la société nouvelle: principes, tendances, tactique de la lutte de classes",6,C Cornélissen,"1900,books.google.com","Ce livre a pour objet d'exposer la lutte de classes du prolétariat moderne, telle qu'elle se 
produit réellement dans la vie sociale. Nous montrerons que son but ne consiste pas dans le …",https://books.google.com/books?hl=en&lr=&id=K6A_AQAAMAAJ&oi=fnd&pg=PT5&dq=lutte+des+classes&ots=X0Z-cMjusA&sig=O-xAygBXvVbJbyHkU-0Pau367Bw,"https://scholar.google.com/scholar?cites=9355365930063344850&as_sdt=2005&sciodt=0,5&hl=en"
7,-1,"Marxisme, lutte des classes et écologisme",2,"F Flipo - Actuel Marx, 2014",cairn.info,"Diverses tentatives ont été faites pour montrer soit que Marx avait pris en compte la question 
écologique dès le départ et qu’il avait été mal lu par la suite, soit qu’il pouvait être relu de …",https://www.cairn.info/revue-actuel-marx-2014-1-page-162.htm,"https://scholar.google.com/scholar?cites=14651929373434052238&as_sdt=2005&sciodt=0,5&hl=en"
8,-1,La lutte des classes à la campagne,1,"M Jollivet - Économie rurale, 1974",persee.fr,"… sociale de lutte de classes dans ceraines couches sociales paysannes; n'est-elle pas elle-même 
la réponse à la question qu'elle suscite? Autrement dit, la lutte des classes ne se …",https://www.persee.fr/doc/ecoru_0013-0559_1974_num_103_1_2263,"https://scholar.google.com/scholar?cites=10391482655785623865&as_sdt=2005&sciodt=0,5&hl=en"
9,-1,"Marx, le marxisme et le «père de la lutte des classes», Augustin Thierry",3,"JN Ducange - Actuel Marx, 2015",cairn.info,"… des classes dans la société moderne, pas plus que la lutte qu’… historique de cette lutte des 
classes et des économistes … travers le prisme de la lutte des classes. Ironisant sur les hommes …",https://www.cairn.info/revue-actuel-marx-2015-2-page-12.htm,"https://scholar.google.com/scholar?cites=14189976623974605461&as_sdt=2005&sciodt=0,5&hl=en"
10,-1,"Politique sociale ou lutte des classes: notes sur le syndicalisme"" apolitique"" des Bourses du Travail",5,"P Schöttler - Le Mouvement social, 1981",JSTOR,"Les Bourses du Travail ont formé la base matérielle du mouvement syndical français a la fin 
du XIXe siècle. Fondées à l'aide de subventions municipales et ayant un statut semi-public, …",https://www.jstor.org/stable/3777586,"https://scholar.google.com/scholar?cites=3474268486488000008&as_sdt=2005&sciodt=0,5&hl=en"
